Sig	category	class	module	Name	uniprot
843	DDR	DRC	DRC	tipin	Q9BVW5
881	DDR	MISC	MISC	tlk1	Q9UKI8-2
1273	DDR	DRC	DRC	tob1a	Q92547
1800	DDR	DRC	DRC	tonsl	Q96HA7
666	REP	REP_EL	REP_EL	top1	P11387
954	REP	REP_EL	REP_EL	top2a	Q02880-2
24	REP	REP_EL	REP_EL	top2b	Q02880-2
934	DDR	HR	HR	top3a	Q13472
762	DDR	DSB	DSB	tp53b	Q12888-2
1294	MISC	DRC	MISC	traip	Q6PCD5
738	MISC	MISC	MISC	tydp1	Q9NUW8
34	MISC	MISC	MISC	tydp2	O95551-2
252	DDR	TLS	TLS	ub2v1	Q13404
889	DDR	MISC	MISC	uba1	P22314
1	DDR	TLS	TLS	ube2a	P61077-2
484	DDR	TLS	TLS	ube2n	P61088
592	DDR	FA	FA	ubp1	O94782
1212	DDR	MISC	MISC	ubp7	Q93009
723	DDR	MISC	MISC	ufd1	Q92890-1
1178	DDR	MISC	MISC	uhrf1	Q96T88
204	DDR	HR	HR	uimc1	Q96RL1
705	DDR	MISC	BER	ung	P13051
407	COH	COH_REG	COH_REG	wapl	Q7Z5K2-3
1718	REP	REP_EL	REP_EL	wdhd1	O75717
962	DDR	FA	FA	wdr48	Q8TAF3
761	REP	REP_EL	REP_EL	wrip1	Q96S55
1872	REP	REP_EL	REP_EL	wrn	Q14191
334	DDR	MISC	NER	xpc	Q01831
1304	DDR	INC	INC	xpf	Q92889
1593	DDR	MISC	BER	xrcc1	P18887
176	DDR	HR	HR	xrcc2	Q06609-4
312	DDR	HR	HR	xrcc3	O43542
726	DDR	MISC	NHEJ	xrcc4	Q13426
1403	DDR	MISC	NHEJ	xrcc5	P13010
1478	DDR	MISC	NHEJ	xrcc6	P12956
181	DDR	TLS	TLS	zrab3	Q5FWF4
